id,landcover,datetime
28,"[""Coniferous forest"", ""Mixed forest""]",2018-04-17T10:20:19+0000
29,"[""Sea and ocean""]",2017-08-30T10:20:19+0000
30,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Broad-leaved forest""]",2018-04-21T10:00:29+0000
31,"[""Pastures""]",2018-02-20T11:43:39+0000
32,"[""Sea and ocean""]",2017-08-14T10:00:29+0000
33,"[""Non-irrigated arable land"", ""Pastures""]",2018-04-30T09:40:31+0000
34,"[""Non-irrigated arable land""]",2018-04-30T09:40:31+0000
35,"[""Transitional woodland/shrub"", ""Sea and ocean""]",2018-02-23T10:10:19+0000
36,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Vineyards"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Water bodies""]",2018-05-06T10:00:31+0000
37,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-02-04T09:41:55+0000
38,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2018-02-28T10:10:21+0000
39,"[""Coniferous forest"", ""Sea and ocean""]",2018-05-21T10:00:29+0000
40,"[""Pastures"", ""Coniferous forest""]",2017-11-12T11:43:39+0000
41,"[""Mixed forest"", ""Sea and ocean""]",2017-08-14T10:00:29+0000
42,"[""Continuous urban fabric"", ""Discontinuous urban fabric"", ""Industrial or commercial units"", ""Salt marshes""]",2018-03-26T11:21:09+0000
43,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-07-09T09:40:29+0000
44,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2018-05-02T09:30:39+0000
45,"[""Sea and ocean""]",2018-05-11T10:00:29+0000
46,"[""Mixed forest"", ""Transitional woodland/shrub"", ""Peatbogs""]",2018-05-15T09:40:29+0000
47,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Agro-forestry areas"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2018-03-26T11:21:09+0000
48,"[""Permanently irrigated land"", ""Pastures"", ""Agro-forestry areas"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-12-21T11:25:01+0000
49,"[""Sea and ocean""]",2018-04-21T11:43:49+0000
50,"[""Sea and ocean""]",2017-10-16T10:10:09+0000
51,"[""Sea and ocean""]",2018-05-11T10:00:29+0000
52,"[""Coniferous forest"", ""Transitional woodland/shrub"", ""Peatbogs""]",2017-08-17T10:10:19+0000
53,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2017-09-14T09:30:30+0000
54,"[""Non-irrigated arable land"", ""Agro-forestry areas"", ""Broad-leaved forest""]",2017-10-02T11:21:11+0000
55,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-08-08T09:40:29+0000
56,"[""Sea and ocean""]",2017-10-16T10:10:09+0000
57,"[""Pastures"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2018-02-25T11:43:51+0000
58,"[""Coniferous forest""]",2017-08-08T09:40:29+0000
59,"[""Sport and leisure facilities"", ""Broad-leaved forest""]",2017-07-04T11:21:11+0000
60,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2018-02-01T09:32:19+0000
61,"[""Sclerophyllous vegetation"", ""Sea and ocean""]",2017-10-02T11:21:11+0000
62,"[""Coniferous forest"", ""Water bodies""]",2018-05-25T09:40:30+0000
63,"[""Olive groves"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Natural grassland"", ""Sclerophyllous vegetation""]",2017-12-21T11:25:01+0000
64,"[""Pastures"", ""Complex cultivation patterns"", ""Broad-leaved forest"", ""Natural grassland""]",2017-09-14T09:30:29+0000
65,"[""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-09-24T09:30:19+0000
66,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Sparsely vegetated areas""]",2018-05-02T09:30:39+0000
67,"[""Pastures"", ""Coniferous forest"", ""Natural grassland"", ""Transitional woodland/shrub"", ""Peatbogs""]",2017-11-12T11:43:39+0000
68,"[""Continuous urban fabric""]",2018-05-15T11:21:09+0000
69,"[""Sea and ocean""]",2017-06-13T10:10:31+0000
70,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Mixed forest"", ""Water bodies""]",2017-09-05T09:50:31+0000
71,"[""Coniferous forest"", ""Mixed forest"", ""Peatbogs""]",2017-11-01T09:41:32+0000
72,"[""Non-irrigated arable land"", ""Water courses""]",2017-08-03T09:40:31+0000
73,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-05-27T09:30:41+0000
74,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-02-01T09:32:19+0000
75,"[""Industrial or commercial units"", ""Non-irrigated arable land""]",2017-12-26T09:43:59+0000
76,"[""Mixed forest"", ""Bare rock"", ""Sea and ocean""]",2017-10-16T10:10:09+0000
77,"[""Pastures"", ""Coniferous forest""]",2018-04-21T10:00:29+0000
78,"[""Complex cultivation patterns"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2017-09-24T09:30:20+0000
79,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-05-08T10:40:31+0000
80,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Broad-leaved forest""]",2018-03-18T09:30:31+0000
81,"[""Mixed forest"", ""Sea and ocean""]",2018-05-11T10:00:29+0000
82,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2017-09-24T09:30:19+0000
83,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest""]",2018-05-21T10:00:29+0000
84,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns""]",2017-11-07T10:52:29+0000
85,"[""Pastures"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2018-04-21T10:00:29+0000
86,"[""Coniferous forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2018-02-19T09:40:31+0000
87,"[""Coniferous forest"", ""Mixed forest""]",2018-02-04T09:41:55+0000
88,"[""Rice fields"", ""Agro-forestry areas"", ""Broad-leaved forest"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2017-08-13T11:21:21+0000
89,"[""Non-irrigated arable land"", ""Pastures"", ""Mixed forest""]",2017-11-12T11:43:39+0000
90,"[""Non-irrigated arable land""]",2018-04-22T09:30:29+0000
91,"[""Sclerophyllous vegetation"", ""Transitional woodland/shrub""]",2017-12-01T11:24:31+0000
92,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest""]",2017-06-13T10:10:31+0000
93,"[""Non-irrigated arable land"", ""Broad-leaved forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-10T09:40:31+0000
94,"[""Non-irrigated arable land"", ""Pastures"", ""Mixed forest""]",2017-11-12T11:43:39+0000
95,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-02-05T10:02:11+0000
96,"[""Continuous urban fabric""]",2018-05-15T11:21:09+0000
97,"[""Non-irrigated arable land"", ""Complex cultivation patterns""]",2017-10-15T09:50:31+0000
98,"[""Sea and ocean""]",2017-06-13T10:10:31+0000
99,"[""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2018-05-22T09:30:29+0000
100,"[""Water bodies""]",2017-09-24T09:30:21+0000
101,"[""Non-irrigated arable land"", ""Pastures"", ""Agro-forestry areas"", ""Transitional woodland/shrub""]",2017-08-18T11:21:09+0000
102,"[""Coniferous forest"", ""Mixed forest""]",2017-11-01T09:41:31+0000
103,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-21T10:00:29+0000
104,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2018-05-15T11:21:10+0000
105,"[""Broad-leaved forest"", ""Mixed forest"", ""Natural grassland"", ""Transitional woodland/shrub""]",2017-12-08T09:33:51+0000
106,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Vineyards"", ""Complex cultivation patterns""]",2017-10-15T09:50:31+0000
107,"[""Non-irrigated arable land"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2017-09-05T09:50:31+0000
108,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-09-14T09:30:30+0000
109,"[""Coniferous forest"", ""Transitional woodland/shrub"", ""Peatbogs""]",2017-09-05T09:50:31+0000
110,"[""Coniferous forest"", ""Mixed forest""]",2017-09-06T10:10:20+0000
111,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2018-02-04T09:41:59+0000
112,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Mixed forest""]",2018-03-18T09:30:31+0000
113,"[""Coniferous forest"", ""Mixed forest"", ""Peatbogs""]",2017-07-01T09:30:31+0000
114,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2017-12-19T09:54:09+0000
115,"[""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns"", ""Transitional woodland/shrub""]",2017-08-16T09:50:31+0000
116,"[""Permanently irrigated land"", ""Broad-leaved forest"", ""Natural grassland"", ""Transitional woodland/shrub""]",2017-08-13T11:21:21+0000
117,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2017-08-17T10:10:19+0000
118,"[""Discontinuous urban fabric"", ""Pastures"", ""Complex cultivation patterns"", ""Coniferous forest"", ""Mixed forest""]",2017-08-08T09:40:29+0000
119,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2018-05-25T09:40:29+0000
120,"[""Complex cultivation patterns"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2018-04-28T09:50:29+0000
121,"[""Sea and ocean""]",2017-12-01T11:24:31+0000
122,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-05-27T09:30:41+0000
123,"[""Broad-leaved forest"", ""Sclerophyllous vegetation"", ""Transitional woodland/shrub""]",2017-10-02T11:21:12+0000
124,"[""Continuous urban fabric""]",2018-05-15T11:21:09+0000
125,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-05-02T09:30:39+0000
126,"[""Complex cultivation patterns"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2017-11-21T11:23:51+0000
127,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-07-09T09:40:29+0000
128,"[""Non-irrigated arable land"", ""Mixed forest"", ""Water bodies""]",2017-07-09T09:40:29+0000
129,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2017-12-08T09:33:51+0000
130,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2017-07-09T09:40:29+0000
131,"[""Non-irrigated arable land"", ""Transitional woodland/shrub"", ""Inland marshes""]",2017-10-02T09:40:32+0000
132,"[""Coniferous forest"", ""Mixed forest"", ""Peatbogs""]",2018-05-26T10:00:31+0000
133,"[""Sea and ocean""]",2018-05-11T10:00:29+0000
134,"[""Coniferous forest"", ""Mixed forest"", ""Peatbogs""]",2018-05-26T10:00:31+0000
135,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2017-09-24T09:30:20+0000
136,"[""Discontinuous urban fabric"", ""Complex cultivation patterns"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-11-21T11:23:51+0000
137,"[""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Coniferous forest"", ""Inland marshes""]",2018-04-13T09:50:31+0000
138,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2018-03-18T09:30:31+0000
139,"[""Non-irrigated arable land"", ""Pastures""]",2018-04-22T09:30:29+0000
140,"[""Pastures"", ""Coniferous forest"", ""Moors and heathland""]",2018-04-21T11:43:49+0000
141,"[""Non-irrigated arable land"", ""Pastures"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2017-09-27T09:40:19+0000
142,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest""]",2018-05-08T10:40:31+0000
143,"[""Non-irrigated arable land"", ""Agro-forestry areas"", ""Transitional woodland/shrub""]",2017-08-13T11:21:21+0000
144,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Broad-leaved forest"", ""Mixed forest""]",2018-04-21T10:00:29+0000
145,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-05-06T10:00:31+0000
146,"[""Non-irrigated arable land""]",2018-04-30T09:40:31+0000
147,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Mixed forest""]",2017-09-27T09:40:19+0000
148,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest""]",2018-02-04T09:41:55+0000
149,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-08-13T11:21:21+0000
150,"[""Continuous urban fabric""]",2018-05-15T11:21:09+0000
151,"[""Sea and ocean""]",2017-09-06T10:10:19+0000
152,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Mixed forest""]",2017-09-24T09:30:21+0000
153,"[""Non-irrigated arable land""]",2017-10-15T09:50:31+0000
154,"[""Discontinuous urban fabric"", ""Inland marshes"", ""Water bodies""]",2017-06-13T10:10:31+0000
155,"[""Road and rail networks and associated land"", ""Pastures""]",2018-02-25T11:43:51+0000
156,"[""Non-irrigated arable land"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-07-01T09:30:31+0000
157,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2018-05-07T09:30:41+0000
158,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-08-16T09:50:31+0000
159,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Transitional woodland/shrub""]",2018-05-15T11:21:10+0000
160,"[""Discontinuous urban fabric"", ""Industrial or commercial units"", ""Broad-leaved forest"", ""Mixed forest""]",2018-02-04T09:41:59+0000
161,"[""Sea and ocean""]",2018-04-19T10:10:31+0000
162,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-25T09:40:29+0000
163,"[""Sea and ocean""]",2017-08-30T10:20:19+0000
164,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-09-24T09:30:19+0000
165,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Sclerophyllous vegetation"", ""Transitional woodland/shrub""]",2017-08-18T11:21:09+0000
166,"[""Sea and ocean""]",2017-08-14T10:00:29+0000
167,"[""Non-irrigated arable land"", ""Mixed forest"", ""Water bodies""]",2017-09-05T09:50:31+0000
168,"[""Non-irrigated arable land"", ""Pastures"", ""Complex cultivation patterns""]",2017-06-13T10:10:31+0000
169,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-11-01T09:41:32+0000
170,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Mixed forest"", ""Water bodies""]",2017-11-01T09:41:31+0000
171,"[""Coniferous forest"", ""Mixed forest""]",2017-11-21T11:23:51+0000
172,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2018-02-01T09:32:19+0000
173,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-27T09:30:41+0000
174,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Mixed forest"", ""Water courses""]",2018-02-28T10:10:21+0000
175,"[""Coniferous forest"", ""Mixed forest""]",2017-07-09T09:40:29+0000
176,"[""Olive groves"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2017-11-21T11:23:51+0000
177,"[""Pastures"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2017-09-27T09:40:20+0000
178,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-08-02T09:20:29+0000
179,"[""Sea and ocean""]",2017-08-14T10:00:29+0000
180,"[""Discontinuous urban fabric"", ""Non-irrigated arable land""]",2017-08-24T10:00:19+0000
181,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-25T09:40:29+0000
182,"[""Mixed forest"", ""Transitional woodland/shrub"", ""Peatbogs""]",2018-05-26T10:00:31+0000
183,"[""Sea and ocean""]",2017-06-17T11:33:21+0000
184,"[""Pastures""]",2018-02-20T11:43:39+0000
185,"[""Non-irrigated arable land"", ""Permanently irrigated land"", ""Water bodies""]",2017-10-02T11:21:11+0000
186,"[""Pastures"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2018-02-25T11:43:51+0000
187,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Mixed forest""]",2017-09-30T09:50:19+0000
188,"[""Coniferous forest"", ""Water bodies""]",2018-05-15T09:40:29+0000
189,"[""Non-irrigated arable land"", ""Complex cultivation patterns""]",2018-05-10T09:40:31+0000
190,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2017-09-24T09:30:19+0000
191,"[""Annual crops associated with permanent crops"", ""Sclerophyllous vegetation""]",2017-12-01T11:24:31+0000
192,"[""Sea and ocean""]",2017-09-06T10:10:19+0000
193,"[""Coniferous forest"", ""Peatbogs"", ""Water courses""]",2017-09-24T09:30:19+0000
194,"[""Water bodies""]",2017-09-24T09:30:21+0000
195,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-05-22T09:30:29+0000
196,"[""Sea and ocean""]",2017-08-14T10:00:29+0000
197,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2017-11-01T09:41:31+0000
198,"[""Sea and ocean""]",2017-12-01T11:24:31+0000
199,"[""Coniferous forest""]",2018-04-17T10:20:19+0000
200,"[""Complex cultivation patterns"", ""Broad-leaved forest"", ""Coniferous forest"", ""Transitional woodland/shrub""]",2017-09-14T09:30:29+0000
201,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-08-17T10:10:19+0000
202,"[""Mineral extraction sites"", ""Pastures"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Natural grassland"", ""Transitional woodland/shrub"", ""Bare rock"", ""Sparsely vegetated areas""]",2017-09-14T09:30:29+0000
203,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Broad-leaved forest""]",2017-11-04T09:52:01+0000
204,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2017-09-05T09:50:31+0000
205,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2018-02-23T10:10:19+0000
206,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Pastures"", ""Mixed forest""]",2018-05-08T10:40:31+0000
207,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest""]",2018-05-06T10:00:31+0000
208,"[""Non-irrigated arable land"", ""Vineyards"", ""Olive groves"", ""Agro-forestry areas""]",2017-08-18T11:21:09+0000
209,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2018-04-13T09:50:31+0000
210,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest"", ""Sea and ocean""]",2018-05-11T10:00:29+0000
211,"[""Coniferous forest"", ""Mixed forest"", ""Sea and ocean""]",2018-05-21T10:00:29+0000
212,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Water bodies""]",2017-09-27T09:40:19+0000
213,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Mixed forest""]",2018-05-25T09:40:30+0000
214,"[""Pastures"", ""Moors and heathland"", ""Water bodies""]",2017-06-17T11:33:21+0000
215,"[""Discontinuous urban fabric"", ""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2017-12-08T09:33:51+0000
216,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2018-02-04T09:41:55+0000
217,"[""Non-irrigated arable land""]",2018-04-30T09:40:31+0000
218,"[""Water bodies""]",2017-09-24T09:30:20+0000
219,"[""Non-irrigated arable land"", ""Broad-leaved forest"", ""Mixed forest""]",2017-09-27T09:40:20+0000
220,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2017-11-01T09:41:32+0000
221,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-05-02T09:30:39+0000
222,"[""Coniferous forest"", ""Mixed forest""]",2018-02-05T10:02:11+0000
223,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Transitional woodland/shrub""]",2018-04-30T09:40:31+0000
224,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2017-12-08T09:33:51+0000
225,"[""Non-irrigated arable land"", ""Broad-leaved forest""]",2017-10-02T11:21:12+0000
226,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-02-01T09:32:19+0000
227,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-02-28T10:10:21+0000
228,"[""Sea and ocean""]",2017-09-06T10:10:20+0000
229,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Agro-forestry areas"", ""Transitional woodland/shrub""]",2017-07-04T11:21:11+0000
230,"[""Sea and ocean""]",2017-10-16T10:10:09+0000
231,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Broad-leaved forest""]",2018-04-13T09:50:31+0000
232,"[""Bare rock"", ""Sea and ocean""]",2018-04-19T10:10:31+0000
